file_name,ann_id,source,domain,accepted_original,accepted_erode50,base_original,base_erode50,base_size_delta,n_included_original,n_included_erode50,union_area_original,union_area_erode50
245.tiff,6317,original_14,canine lymphosarcoma,True,True,21,21,0,1,1,216,216
300.tiff,14499,original_14,canine cutaneous mast cell tumor,True,True,23,23,0,1,1,215,215
402.tiff,20254,original_14,human neuroendocrine tumor,True,True,23,23,0,1,1,351,351
094.tiff,2512,original_14,human breast cancer,True,True,23,23,0,1,1,277,277
233.tiff,5761,original_14,canine lung cancer,True,True,23,23,0,1,1,354,354
246.tiff,6548,original_14,canine lymphosarcoma,True,True,25,25,0,1,1,224,224
548.tiff,25804,original_14,human melanoma,True,True,27,27,0,1,1,449,449
529.tiff,24937,tightening_process_hem_vs_gray,human melanoma,True,True,29,29,0,1,1,219,219
013.tiff,254,tightening_process_hem_vs_gray,human breast cancer,True,True,29,29,0,1,1,455,455
403.tiff,20356,original_14,human neuroendocrine tumor,True,True,29,29,0,1,1,436,436
201.tiff,4469,tightening_process_hem_vs_gray,canine lung cancer,True,True,29,29,0,1,1,292,292
201.tiff,4457,original_14,canine lung cancer,True,True,29,29,0,1,1,285,285
300.tiff,14581,tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,True,True,29,29,0,3,3,256,256
300.tiff,14575,tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,True,True,29,29,0,3,3,185,185
245.tiff,6243,tightening_process_hem_vs_gray,canine lymphosarcoma,True,True,31,31,0,4,4,271,271
529.tiff,24918,original_14,human melanoma,True,True,31,31,0,1,1,436,436
301.tiff,14969,original_14,canine cutaneous mast cell tumor,True,True,31,31,0,1,1,306,306
459.tiff,22441,original_14,canine soft tissue sarcoma,True,True,31,31,0,1,1,574,574
402.tiff,20258,tightening_process_hem_vs_gray,human neuroendocrine tumor,True,True,33,33,0,1,1,514,514
245.tiff,6274,tightening_process_hem_vs_gray,canine lymphosarcoma,True,True,33,33,0,3,3,320,320
460.tiff,22577,original_14,canine soft tissue sarcoma,True,True,37,37,0,1,1,535,535
459.tiff,22446,tightening_process_hem_vs_gray,canine soft tissue sarcoma,True,True,39,39,0,1,1,683,683
013.tiff,249,original_14,human breast cancer,True,True,39,39,0,1,1,850,850
013.tiff,243,tightening_process_hem_vs_gray,human breast cancer,True,True,41,41,0,2,2,317,317
